Pokemon Number,Pokemon Name,Pokemon Type 1,Pokemon Type 2,HP,Attack,Defense,Sp. Attack ,Sp. Defense,Speed,Base Stat Total,Experience Growth,Male %,Female %,Weight (kg),Height (meters),Generation ,Capture Rate,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,1059860,88.1,11.9,6.9,0.7,1,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,1059860,88.1,11.9,13,1,1,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,1059860,88.1,11.9,100,2,1,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,Charmander,Fire,,39,52,43,60,50,65,309,1059860,88.1,11.9,8.5,0.6,1,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
5,Charmeleon,Fire,,58,64,58,80,65,80,405,1059860,88.1,11.9,19,1.1,1,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,1059860,88.1,11.9,90.5,1.7,1,45,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
7,Squirtle,Water,,44,48,65,50,64,43,314,1059860,88.1,11.9,9,0.5,1,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
8,Wartortle,Water,,59,63,80,65,80,58,405,1059860,88.1,11.9,22.5,1,1,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Blastoise,Water,,79,83,100,85,105,78,530,1059860,88.1,11.9,85.5,1.6,1,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
10,Caterpie,Bug,,45,30,35,20,20,45,195,1000000,50,50,2.9,0.3,1,255,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
11,Metapod,Bug,,50,20,55,25,25,30,205,1000000,50,50,9.9,0.7,1,120,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,1000000,50,50,32,1.1,1,45,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,1000000,50,50,3.2,0.3,1,255,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,1000000,50,50,10,0.6,1,120,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,1000000,50,50,29.5,1,1,45,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,1059860,50,50,1.8,0.3,1,255,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,1059860,50,50,30,1.1,1,120,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,1059860,50,50,39.5,1.5,1,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
19,Rattata,Normal,,30,56,35,25,35,72,253,1000000,50,50,3.5,0.3,1,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
20,Raticate,Normal,,55,81,60,50,70,97,413,1000000,50,50,18.5,0.7,1,127,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,1000000,50,50,2,0.3,1,255,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,1000000,50,50,38,1.2,1,90,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
23,Ekans,Poison,,35,60,44,40,54,55,288,1000000,50,50,6.9,2,1,255,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
24,Arbok,Poison,,60,95,69,65,79,80,448,1000000,50,50,65,3.5,1,90,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
25,Pikachu,Electric,,35,55,40,50,50,90,320,1000000,50,50,6,0.4,1,190,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
26,Raichu,Electric,,60,90,55,90,80,110,485,1000000,50,50,30,0.8,1,75,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
27,Sandshrew,Ground,,50,75,85,20,30,40,300,1000000,50,50,12,0.6,1,255,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
28,Sandslash,Ground,,75,100,110,45,55,65,450,1000000,50,50,29.5,1,1,90,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
29,Nidoran?,Poison,,55,47,52,40,40,41,275,1059860,0,0,7,0.4,1,235,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
30,Nidorina,Poison,,70,62,67,55,55,56,365,1059860,0,0,20,0.8,1,120,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,1059860,0,0,60,1.3,1,45,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
32,Nidoran?,Poison,,46,57,40,40,40,50,273,1059860,100,0,9,0.5,1,235,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
33,Nidorino,Poison,,61,72,57,55,55,65,365,1059860,100,0,19.5,0.9,1,120,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,1059860,100,0,62,1.4,1,45,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
35,Clefairy,Fairy,,70,45,48,60,65,35,323,800000,24.6,75.4,7.5,0.6,1,150,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
36,Clefable,Fairy,,95,70,73,95,90,60,483,800000,24.6,75.4,40,1.3,1,25,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
37,Vulpix,Fire,,38,41,40,50,65,65,299,1000000,24.6,75.4,9.9,0.6,1,190,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
38,Ninetales,Fire,,73,76,75,81,100,100,505,1000000,24.6,75.4,19.9,1.1,1,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,800000,24.6,75.4,5.5,0.5,1,170,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,800000,24.6,75.4,12,1,1,50,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
41,Zubat,Poison,Flying,40,45,35,30,40,55,245,1000000,50,50,7.5,0.8,1,255,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
42,Golbat,Poison,Flying,75,80,70,65,75,90,455,1000000,50,50,55,1.6,1,90,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
43,Oddish,Grass,Poison,45,50,55,75,65,30,320,1059860,50,50,5.4,0.5,1,255,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
44,Gloom,Grass,Poison,60,65,70,85,75,40,395,1059860,50,50,8.6,0.8,1,120,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,1059860,50,50,18.6,1.2,1,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
46,Paras,Bug,Grass,35,70,55,45,55,25,285,1000000,50,50,5.4,0.3,1,190,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
47,Parasect,Bug,Grass,60,95,80,60,80,30,405,1000000,50,50,29.5,1,1,75,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
48,Venonat,Bug,Poison,60,55,50,40,55,45,305,1000000,50,50,30,1,1,190,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
