Year,Platform,Titles,Sales,Gross
,,,(millions),(million US$)
1996,GB,Pokemon Red/Green/Blue,31.05,1271
1998,GB,Pokemon Yellow,14.64,454
2004,GBA,Pokemon FireRed & LeafGreen,12,640
2016,3DS (VC),Pokemon Red/Green/Blue/Yellow,1.5,19
2018,Switch,Pokemon: Let's Go Pikachu & Eevee,15.07,
1999,GBC,Pokemon Gold & Silver,23.73,1016
2000,GBC,Pokemon Crystal,6.39,211
2009,DS,Pokemon HeartGold & SoulSilver,12.72,763
2002,GBA,Pokemon Ruby & Sapphire,16.22,689
2004,GBA,Pokemon Emerald,7.06,256
2014,3DS,Pokemon Omega Ruby & Alpha Sapphire,14.57,703
2006,DS,Pokemon Diamond & Pearl,17.67,778
2008,DS,Pokemon Platinum,7.6,372
2021,Switch,Pokemon Brilliant Diamond & Shining Pearl,14.92,
2010,DS,Pokemon Black & White,15.64,759
2012,DS,Pokemon Black 2 & White 2,8.52,435
2013,3DS,Pokemon X & Y,16.68,953
2016,3DS,Pokemon Sun & Moon,16.3,879.4
2017,3DS,Pokemon Ultra Sun & Ultra Moon,9.15,368
2019,Switch,Pokemon Sword & Shield,25.82,13.11
2022,Switch,Pokemon Legends: Arceus,14.83,
2022,Switch,Pokemon Scarlet & Violet,22.1,
,,,,
